Site,Layer,SampleNo,Depth,Cyperaceae,Typha.Sparganium,Alternanthera,Apiaceae,Anemone,Asteraceae.HS,Asteraceae.LS,Centaurea,Asteraceae.Liguliflorae,Brassicaceae,Caryophyllaceae,Cheno.Am,Cirsium,Fagopyrum,Geraniaceae,Gossypium,Hypericaceae,Impatiens,Lamiaceae,Liliaceae,Melilotus,Onagraceae,Parthenocissus,PlantagoII,Plantago,Poaceae,Polygonaceae,Polygonum,Ranunculaceae,Richardia,Rosa,Rosaceae,Rubus,Rumex,Scrophulariaceae,Solanaceae,Trifolium,Trifolium.Repens.Type,Urtica,Verbena,Cerealea,Cerealea.Type.B,Zea,Acer,Aesculus,Ailanthus,Alnus,Betula,Carpinus,Carya,Castanea,Cornus,Diospyros,Fabaceae,Fagus,Fraxinus,Gleditsia,JuglansNigra,Liquidambar,Liriodendron,Magnolia,Malus.Pyrus,Myrtaceae,Nyssa.Aquatica,Nyssa.Sylvatica,Ostrya,Picea,Pinus,Platanus,Prunus,Quercus,Rhamnaceae,Rhus,Salix,Sambucus,TCT,Tilia,Tsuga,Ulmus,Viburnum,Vitis,Indeterminate,Unknown B,Unknown C,Osmunda,Aquatics,Herbs and Cultigens,Arboreal,Other,Ferns,Total Pollen Sum,Total Ferns
SS2,5,21,2.1,1,1,0,9,0,1,82,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,2,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,4,1,3,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,10,0,61,1,0,2,0,9,0,0,1,0,3,6,0,0,0,2,122,128,6,0,258,0
SS2,6,22,2.2,1,1,0,9,0,1,79,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,20,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,2,1,1,4,15,1,0,1,0,1,0,2,0,1,1,0,0,1,0,0,0,22,18,2,50,0,1,3,0,9,0,1,2,0,1,12,0,0,0,2,127,141,12,0,282,0
SS2,6,23,2.3,3,0,0,8,0,2,68,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,11,31,0,0,0,0,1,0,1,0,0,0,3,3,0,0,8,4,1,1,0,0,0,1,0,4,17,0,0,1,1,0,0,4,0,0,0,0,0,2,0,0,0,19,5,2,34,0,0,0,0,22,0,0,0,0,0,6,0,0,0,3,147,113,6,0,269,0
SS2,6,24,2.4,3,0,0,16,0,1,62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,3,0,0,0,0,0,0,1,22,0,1,1,1,0,1,7,0,0,0,0,0,1,0,1,0,24,4,0,40,0,0,1,0,22,1,0,1,0,0,4,0,0,0,3,127,129,4,0,263,0
SS2,6,25,2.5,1,1,0,6,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,4,0,4,31,0,1,0,1,0,0,5,3,0,0,0,0,0,0,0,0,21,7,1,32,0,0,2,1,17,0,0,1,0,1,5,0,0,0,2,112,134,5,0,253,0
SS2,6,26,2.6,1,0,0,7,0,1,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,3,1,0,0,36,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,26,6,1,35,0,0,2,2,17,0,1,0,0,0,2,1,0,0,1,102,137,3,0,243,0
SS2,6,27,2.7,0,0,0,5,0,1,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,19,1,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,1,1,0,0,3,0,1,38,0,0,0,3,0,0,3,0,2,0,0,0,0,1,0,0,19,8,0,50,0,0,1,0,16,1,0,1,0,1,3,1,0,0,0,93,150,4,0,247,0
SS2,6,28,2.8,2,0,0,6,1,0,52,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,1,0,0,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,28,9,1,40,0,0,0,1,32,0,1,0,0,1,11,0,0,0,2,82,153,11,0,248,0
SS2,6,29,2.9,3,0,0,5,0,0,53,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,11,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,2,0,0,0,3,0,1,35,2,0,0,1,1,0,4,0,0,0,0,0,1,1,0,0,23,3,0,48,0,0,0,0,25,1,0,0,0,2,3,0,0,0,3,85,153,3,0,244,0
SS2,6,30,3,7,0,0,9,0,0,61,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,22,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,3,0,3,50,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,19,10,1,58,0,0,1,0,16,0,1,1,0,2,6,0,0,0,7,106,173,6,0,292,0
